Codigo,Descripcion,Costo,Precio2,,
101107,"CINCHO AMARRE PLASTICO 22"" NEGRO    «DEXSON»",1.2,1.75,,
101108,"CINCHO AMARRE PLASTICO 32"" NEGRO     «DEXSON»",4.5,5.95,,
101109,"CINCHO AMARRE PLASTICO 6"" BLANCO    «DEXSON»",0.11,0.15,,
101110,"CINCHO AMARRE PLASTICO 14"" NEGRO    «ANCLO»",0.51,0.7,,
101111,MODULO SENCILLO P/TRANSF. N/CARIBE,123.52,163.25,,
101112,"ABRAZADERA UNICANAL DE 1 1/4""",3.54,4.75,,
101113,"CINCHO AMARRE PLASTICO 8"" NEGRO    «FULGORE»",0.17,0.25,,
101114,44326   CINCHO AMARRE PLASTICO 200MM.  NEGRO    «VOLTECH»,0.17,0.25,,
101115,"CINCHO AMARRE PLASTICO 3.6MM. 10"" NEGRO    «CONINCA»",0.19,0.25,,
101116,"CINCHO AMARRE PLASTICO 4.8MM. 10"" NEGRO    «CONINCA»",0.24,0.35,,
101117,"CINCHO AMARRE PLASTICO 3.6MM. 12""  NEGRO    «CONINCA»",0.24,0.35,,
101118,"CINCHO AMARRE PLASTICO 4.8MM. 12"" NEGRO    «CONINCA»",0.28,0.4,,
101119,"CINCHO AMARRE PLASTICO 3.6MM. 12""  BLANCO     «CONINCA»",0.29,0.4,,
101120,"CINCHO AMARRE PLASTICO 4.8MM. 14"" NEGRO    «CONINCA»",0.39,0.55,,
101121,"CINCHO AMARRE PLASTICO 14"" NEGRO    «VOLTECH»",0.28,0.4,,
101122,KC-700   CINCHO AMARRE PLASTICO 700PCS.     «KONINCA»,74.99,98.95,,
101123,CINCHO AMARRE PLASTICO 100MM. BLANCO    «VOLTECH»,0.04,0.1,,
101124,CINCHO AMARRE PLASTICO 550MM. BLANCO     «VOLTECH»,1.42,1.9,,
102001,HI DAMP.  DESPLAZANTE DE HUMEDAD  <DAISO>,80,104,,
102002,FOAMCLEAN   ESPUMA ANTIESTATICA 16 OZ  <DAISO>,33,43.25,,
102003,ECO-SPRAY   DIELECTRICO LIMPIA-CONTACTOS ANTI-FLAMA,66,85.8,,
102004,LIMPIA-CONTACTOS ELECTRONICO 590 ML.    «SABO»,41.45,53.95,,
102005,LIMPIADOR DE CONTACTOS ELECTRICOS  <SUPERDIELEC>,60.39,78.75,,
102006,ACEITE 180 ML  (SPRAY)  <3 EN 1>,11.97,0.06,,
102007,DESENGRASANTE 3 EN 1 SPRAY 10 ONZ.,20.31,26.8,,
102008,ACEITE 38 ML.  <3 EN 1>,6.42,0.06,,
102009,ACEITE 5.5 ONZAS  <WD-40>,17.55,23.25,,
102010,ACEITE 9.6 ONZAS  <WD-40>,21.97,29,,
102011,ACEITE  11 ONZAS  <WD-40>,27.27,36.75,,
102012,AIRE COMPRIMIDO 20 ONZ.    «DUSTER»,48,64.95,,
102013,AIRE LIQUIDO   <DAISO>,65,84.5,,
102014,AROMATIZANTE EN SPRAY    <DAISO>,25,33,,
102015,16-101  LIMPIADOR DE CONTACTOS USO GENERAL  <3M>,75.66,98.35,,
102016,16-102  LIMPIADOR DE CONTACTOS USO ELECTRONICO  <3M>,57.5,71.25,,
102017,16-205  DESENGRASANTE BASE NATURAL   <3M>,42.27,55.8,,
102018,16-203  LIMPIADOR DE CONTACTOS USO ELECTRICO   <3M>,1.01,1.01,,
102020,ACEITE   8  ONZAS  <WD-40>,21.12,28.5,,
102021,LUBRICANTE SECO P/ CANDADO,13.75,18.15,,
102022,LIMPIA CONTACTOS VELTRON 23,70,92.4,,
102023,ESPUMA LIMPIADORA DE SUPERFICIES 20 onz.,48,63.36,,
102024,ACEITE 88.7 ML. <WD-40>,8.5,11.25,,
102025,CA-1  LIMPIA SUPERFICIES AIR 1PK    <MAXELL>,40,52.8,,
102026,ACEITE 88.7 ML  (3 ONZ)  <3 EN 1>,8.97,11.85,,
102027,M1920-3   ADITIVO P/LIMPIAR CONTACTOS ELECTRICOS,54.82,72.9,,
102028,05102  LIMPIADOR DE CONTACTOS ELECTRONICOS  <CRC>,37.5,49.5,,
